id,Tên gói cước,Loại hình
1,HOME 1_NgT,Hộ gia đình
2,HOME 1_NgT (Mesh),Hộ gia đình
3,HOME 1_NT,Hộ gia đình
4,HOME 1_NT (Mesh),Hộ gia đình
5,HOME 2_NgT,Hộ gia đình
6,HOME 2_NgT (Mesh),Hộ gia đình
7,HOME 2_NT,Hộ gia đình
8,HOME 2_NT (Mesh),Hộ gia đình
9,HOME 3_NgT (Mesh),Hộ gia đình
10,HOME 3_NT (Mesh),Hộ gia đình
11,Xtra100+,Doanh nghiệp
12,Xtra150+,Doanh nghiệp
13,Xtra200+,Doanh nghiệp
14,Xtra240+,Doanh nghiệp
15,Xtra300+,Doanh nghiệp
16,Xtra400+,Doanh nghiệp
17,Xtra600+,Doanh nghiệp
18,Xtra1000+,Doanh nghiệp
19,Fiber36+,Doanh nghiệp
20,Fiber50+,Doanh nghiệp
21,Fiber60Eco+,Doanh nghiệp
22,Fiber60+,Doanh nghiệp
23,Fiber80Eco+,Doanh nghiệp
24,Fiber80+,Doanh nghiệp
25,Fiber100Eco+,Doanh nghiệp
26,Fiber100+,Doanh nghiệp
27,Fiber100Vip+,Doanh nghiệp
28,Fiber150Eco+,Doanh nghiệp
29,Fiber150+,Doanh nghiệp
30,Fiber150Vip+,Doanh nghiệp
31,Fiber200Eco+,Doanh nghiệp
32,Fiber200+,Doanh nghiệp
33,Fiber200Vip+,Doanh nghiệp
34,Fiber300Eco+,Doanh nghiệp
35,Fiber300+,Doanh nghiệp
36,Fiber300Vip+,Doanh nghiệp
37,Fiber500Eco+,Doanh nghiệp
38,Fiber500+,Doanh nghiệp
39,Fiber500Vip+,Doanh nghiệp
40,Xe phát mạng lưu động,Điểm công cộng
41,Cơ quan hành chính nhà nước,Điểm công cộng
42,Cơ quan chuyên môn nhà nước,Điểm công cộng
